description,ibkr-symbol,region,exchange,isin,just-etf,extra-etf
ISHRS IBND DEC 26 CORP,26ID,IE - Ireland,SBF*,IE000BWITBP9,https://www.justetf.com/es/etf-profile.html?isin=IE000BWITBP9,https://extraetf.com/es/etf-profile/IE000BWITBP9
ISHRS IBNDS DEC 28 CORP,28ID,IE - Ireland,SBF*,IE0000UJ3480,https://www.justetf.com/es/etf-profile.html?isin=IE0000UJ3480,https://extraetf.com/es/etf-profile/IE0000UJ3480
LEVERAGE SHARES 2X ADV MICRO,2AME,IE - Ireland,LSEETF*,IE00BKT6ZG93,https://www.justetf.com/es/etf-profile.html?isin=IE00BKT6ZG93,https://extraetf.com/es/etf-profile/IE00BKT6ZG93
ISHARES MSCI WRLD GBP-H,2B73,IE - Ireland,GETTEX*,IE00B42YS929,https://www.justetf.com/es/etf-profile.html?isin=IE00B42YS929,https://extraetf.com/es/etf-profile/IE00B42YS929
LEVERAGE SHARES 2X ALIBABA,2BAE,IE - Ireland,LSEETF*,IE00BK5C1C97,https://www.justetf.com/es/etf-profile.html?isin=IE00BK5C1C97,https://extraetf.com/es/etf-profile/IE00BK5C1C97
LS 2X LONG BERK,2BRE,IE - Ireland,LSEETF*,XS2399369110,https://www.justetf.com/es/etf-profile.html?isin=XS2399369110,https://extraetf.com/es/etf-profile/XS2399369110
WT STOXX EUR AUTO 2X DLY LV,2CAR,IE - Ireland,BVME.ETF*,XS2427363895,https://www.justetf.com/es/etf-profile.html?isin=XS2427363895,https://extraetf.com/es/etf-profile/XS2427363895
AMUND IBEX35 DID -2X,2INVE,FR - France,BM*,FR0011036268,https://www.justetf.com/es/etf-profile.html?isin=FR0011036268,https://extraetf.com/es/etf-profile/FR0011036268
GRANITESHARES 2X LONG ZM,2LZM,IE - Ireland,BVME.ETF*,XS2376991654,https://www.justetf.com/es/etf-profile.html?isin=XS2376991654,https://extraetf.com/es/etf-profile/XS2376991654
LEVERAGE SHARES 2X MICRON,2MUE,IE - Ireland,LSEETF*,IE00BKT66K01,https://www.justetf.com/es/etf-profile.html?isin=IE00BKT66K01,https://extraetf.com/es/etf-profile/IE00BKT66K01
2X LONG WTI OIL,2OIE,IE - Ireland,LSEETF*,XS2472195366,https://www.justetf.com/es/etf-profile.html?isin=XS2472195366,https://extraetf.com/es/etf-profile/XS2472195366
WT STOXX EUR O&G 2X DLY SHRT,2OIG,IE - Ireland,BVME.ETF*,XS2427474023,https://www.justetf.com/es/etf-profile.html?isin=XS2427474023,https://extraetf.com/es/etf-profile/XS2427474023
21SHARES SHORT BITCOIN ETP,2SBT,CH - Switzerland,IBIS*,CH0514065058,https://www.justetf.com/es/etf-profile.html?isin=CH0514065058,https://extraetf.com/es/etf-profile/CH0514065058
21SHARES STK BSK INDX ETP,2SKE,CH - Switzerland,IBIS*,CH1210548892,https://www.justetf.com/es/etf-profile.html?isin=CH1210548892,https://extraetf.com/es/etf-profile/CH1210548892
LEVERAGE SHARES -2X SHORT TE,2STE,IE - Ireland,LSEETF*,XS2706221277,https://www.justetf.com/es/etf-profile.html?isin=XS2706221277,https://extraetf.com/es/etf-profile/XS2706221277
WT STOXX EUR TR&LE 2X DLY ST,2STR,IE - Ireland,BVME.ETF*,XS2437455608,https://www.justetf.com/es/etf-profile.html?isin=XS2437455608,https://extraetf.com/es/etf-profile/XS2437455608
GRANITESHARES 2X SHORT ZM,2SZM,IE - Ireland,BVME.ETF*,XS2435549188,https://www.justetf.com/es/etf-profile.html?isin=XS2435549188,https://extraetf.com/es/etf-profile/XS2435549188
WT STOXX EUR TR&LE 2X DLY LV,2TRV,IE - Ireland,BVME.ETF*,XS2427363036,https://www.justetf.com/es/etf-profile.html?isin=XS2427363036,https://extraetf.com/es/etf-profile/XS2427363036
LEVERAGESHARES 2X TESLA ETP,2TSE,IE - Ireland,LSEETF*,IE00BK5BZY66,https://www.justetf.com/es/etf-profile.html?isin=IE00BK5BZY66,https://extraetf.com/es/etf-profile/IE00BK5BZY66
21SHARES UNISWAP ETP,2UNI,CH - Switzerland,IBIS*,CH1135202096,https://www.justetf.com/es/etf-profile.html?isin=CH1135202096,https://extraetf.com/es/etf-profile/CH1135202096
3X ABNB,3ABE,IE - Ireland,LSEETF*,XS2336344762,https://www.justetf.com/es/etf-profile.html?isin=XS2336344762,https://extraetf.com/es/etf-profile/XS2336344762
LS 3X AMD,3ADE,IE - Ireland,LSEETF*,XS2337090422,https://www.justetf.com/es/etf-profile.html?isin=XS2337090422,https://extraetf.com/es/etf-profile/XS2337090422
LEVERAGE SHARES 3X AMAZON,3AME,IE - Ireland,LSEETF*,IE00BK5BZQ82,https://www.justetf.com/es/etf-profile.html?isin=IE00BK5BZQ82,https://extraetf.com/es/etf-profile/IE00BK5BZQ82
LEVERAGE SHARES 3X APPLE,3APE,IE - Ireland,LSEETF*,IE00BK5BZS07,https://www.justetf.com/es/etf-profile.html?isin=IE00BK5BZS07,https://extraetf.com/es/etf-profile/IE00BK5BZS07
3X LONG ARK INNOVATION ETP,3ARE,IE - Ireland,LSEETF*,XS2663694847,https://www.justetf.com/es/etf-profile.html?isin=XS2663694847,https://extraetf.com/es/etf-profile/XS2663694847
LEVERAGE SHARES 3X BOEING ET,3BAE,IE - Ireland,LSEETF*,XS2297551371,https://www.justetf.com/es/etf-profile.html?isin=XS2297551371,https://extraetf.com/es/etf-profile/XS2297551371
WT EURO STX BNK 3X DLY LVRGD,3BAL,IE - Ireland,BVME.ETF*,IE00BLS09N40,https://www.justetf.com/es/etf-profile.html?isin=IE00BLS09N40,https://extraetf.com/es/etf-profile/IE00BLS09N40
WT EURO STX BNK 3X DLY SHORT,3BAS,IE - Ireland,BVME.ETF*,XS2637076568,https://www.justetf.com/es/etf-profile.html?isin=XS2637076568,https://extraetf.com/es/etf-profile/XS2637076568
LS 3X BABA,3BBE,IE - Ireland,LSEETF*,XS2337090851,https://www.justetf.com/es/etf-profile.html?isin=XS2337090851,https://extraetf.com/es/etf-profile/XS2337090851
LEVERAGE SHARES 3X BP ETP,3BPE,IE - Ireland,LSEETF*,XS2297636107,https://www.justetf.com/es/etf-profile.html?isin=XS2297636107,https://extraetf.com/es/etf-profile/XS2297636107
WT BRENT CRUDE 3X DAILY LVRG,3BRL,IE - Ireland,BVME.ETF*,IE00BMTM6D55,https://www.justetf.com/es/etf-profile.html?isin=IE00BMTM6D55,https://extraetf.com/es/etf-profile/IE00BMTM6D55
WT BRENT CRUDE 3X DLY SHORT,3BRS,IE - Ireland,BVME.ETF*,IE00BLRPRK35,https://www.justetf.com/es/etf-profile.html?isin=IE00BLRPRK35,https://extraetf.com/es/etf-profile/IE00BLRPRK35
WT BTP 10Y 3X DLY LEVERAGED,3BTL,IE - Ireland,BVME.ETF*,IE00BKT09149,https://www.justetf.com/es/etf-profile.html?isin=IE00BKT09149,https://extraetf.com/es/etf-profile/IE00BKT09149
WT BTP 10Y 3X DAILY SHORT,3BTS,IE - Ireland,BVME.ETF*,IE00BKS8QM96,https://www.justetf.com/es/etf-profile.html?isin=IE00BKS8QM96,https://extraetf.com/es/etf-profile/IE00BKS8QM96
WT BUND 10Y 3X DLY LEVERAGED,3BUL,IE - Ireland,BVME.ETF*,IE00BKT09255,https://www.justetf.com/es/etf-profile.html?isin=IE00BKT09255,https://extraetf.com/es/etf-profile/IE00BKT09255
WT BUND 10Y 3X DAILY SHORT,3BUS,IE - Ireland,BVME.ETF*,IE00BKS8QN04,https://www.justetf.com/es/etf-profile.html?isin=IE00BKS8QN04,https://extraetf.com/es/etf-profile/IE00BKS8QN04
WT CAC 40 3X DAILY LVRGD,3CAC,IE - Ireland,SBF*,XS2637077020,https://www.justetf.com/es/etf-profile.html?isin=XS2637077020,https://extraetf.com/es/etf-profile/XS2637077020
WT CAC 40 3X DAILY SHORT,3CAS,IE - Ireland,SBF*,XS2637077533,https://www.justetf.com/es/etf-profile.html?isin=XS2637077533,https://extraetf.com/es/etf-profile/XS2637077533
WT COFFEE 3X DAILY LEVERAGED,3CFL,JE - Jersey,BVME.ETF*,JE00BYQY3Z98,https://www.justetf.com/es/etf-profile.html?isin=JE00BYQY3Z98,https://extraetf.com/es/etf-profile/JE00BYQY3Z98
3X LONG CHINA,3CHE,IE - Ireland,LSEETF*,XS2472196414,https://www.justetf.com/es/etf-profile.html?isin=XS2472196414,https://extraetf.com/es/etf-profile/XS2472196414
LS 3X LONG COIN,3CNE,IE - Ireland,LSEETF*,XS2399367254,https://www.justetf.com/es/etf-profile.html?isin=XS2399367254,https://extraetf.com/es/etf-profile/XS2399367254
LEVERAGE SHARES 3XSALESFORCE,3CRE,IE - Ireland,LSEETF*,IE00BK5BZT14,https://www.justetf.com/es/etf-profile.html?isin=IE00BK5BZT14,https://extraetf.com/es/etf-profile/IE00BK5BZT14
WT DAX 3X DAILY LEVERAGED,3DEL,IE - Ireland,LSEETF*,IE00B878KX55,https://www.justetf.com/es/etf-profile.html?isin=IE00B878KX55,https://extraetf.com/es/etf-profile/IE00B878KX55
WT DAX 3X DAILY SHORT,3DES,IE - Ireland,LSEETF*,IE00B8GKPP93,https://www.justetf.com/es/etf-profile.html?isin=IE00B8GKPP93,https://extraetf.com/es/etf-profile/IE00B8GKPP93
3X DIS,3DIE,IE - Ireland,LSEETF*,XS2335553801,https://www.justetf.com/es/etf-profile.html?isin=XS2335553801,https://extraetf.com/es/etf-profile/XS2335553801
3X GERMANY 40,3DXE,IE - Ireland,LSEETF*,XS2472331995,https://www.justetf.com/es/etf-profile.html?isin=XS2472331995,https://extraetf.com/es/etf-profile/XS2472331995
WT EM 3X DAILY LVRGD,3EML,IE - Ireland,BVME.ETF*,IE00BYTYHN28,https://www.justetf.com/es/etf-profile.html?isin=IE00BYTYHN28,https://extraetf.com/es/etf-profile/IE00BYTYHN28
WT EM 3X DAILY SHORT,3EMS,IE - Ireland,BVME.ETF*,IE00BYTYHM11,https://www.justetf.com/es/etf-profile.html?isin=IE00BYTYHM11,https://extraetf.com/es/etf-profile/IE00BYTYHM11
WT EURO STOXX50 3X DLY LVRGD,3EUL,IE - Ireland,LSEETF*,IE00B7SD4R47,https://www.justetf.com/es/etf-profile.html?isin=IE00B7SD4R47,https://extraetf.com/es/etf-profile/IE00B7SD4R47
WT EURO STOXX50 3X DLY SHORT,3EUS,IE - Ireland,LSEETF*,IE00B8JF9153,https://www.justetf.com/es/etf-profile.html?isin=IE00B8JF9153,https://extraetf.com/es/etf-profile/IE00B8JF9153
LEVERAGE SHARES 3X FACEBOOK,3FBE,IE - Ireland,LSEETF*,IE00BK5C1B80,https://www.justetf.com/es/etf-profile.html?isin=IE00BK5C1B80,https://extraetf.com/es/etf-profile/IE00BK5C1B80
GRANITESHARES 3X LONG FAANG,3FNE,IE - Ireland,LSEETF*,XS2679091996,https://www.justetf.com/es/etf-profile.html?isin=XS2679091996,https://extraetf.com/es/etf-profile/XS2679091996
GRANITESHARES 3X LONG FATANG,3FTE,IE - Ireland,LSEETF*,XS2696138077,https://www.justetf.com/es/etf-profile.html?isin=XS2696138077,https://extraetf.com/es/etf-profile/XS2696138077
LS 3X GOLD MINERS,3GDE,IE - Ireland,LSEETF*,XS2399369896,https://www.justetf.com/es/etf-profile.html?isin=XS2399369896,https://extraetf.com/es/etf-profile/XS2399369896
3X LONG GOLD,3GLE,IE - Ireland,LSEETF*,XS2472195101,https://www.justetf.com/es/etf-profile.html?isin=XS2472195101,https://extraetf.com/es/etf-profile/XS2472195101
GRANITESHARES 3X LONG GAFAM,3GME,IE - Ireland,LSEETF*,XS2693059839,https://www.justetf.com/es/etf-profile.html?isin=XS2693059839,https://extraetf.com/es/etf-profile/XS2693059839
LEVERAGE SHARES 3X ALPHABET,3GOE,IE - Ireland,LSEETF*,IE00BK5BZX59,https://www.justetf.com/es/etf-profile.html?isin=IE00BK5BZX59,https://extraetf.com/es/etf-profile/IE00BK5BZX59
WT GOLD 3X DAILY LEVERAGED,3GOL,IE - Ireland,BVME.ETF*,IE00B8HGT870,https://www.justetf.com/es/etf-profile.html?isin=IE00B8HGT870,https://extraetf.com/es/etf-profile/IE00B8HGT870
WT GOLD 3X DAILY SHORT,3GOS,IE - Ireland,BVME.ETF*,IE00B6X4BP29,https://www.justetf.com/es/etf-profile.html?isin=IE00B6X4BP29,https://extraetf.com/es/etf-profile/IE00B6X4BP29
WT COPPER 3X DAILY LEVERAGED,3HCL,IE - Ireland,BVME.ETF*,IE00B8JVMZ80,https://www.justetf.com/es/etf-profile.html?isin=IE00B8JVMZ80,https://extraetf.com/es/etf-profile/IE00B8JVMZ80
WT COPPER 3X DAILY SHORT,3HCS,IE - Ireland,BVME.ETF*,IE00B8KD3F05,https://www.justetf.com/es/etf-profile.html?isin=IE00B8KD3F05,https://extraetf.com/es/etf-profile/IE00B8KD3F05
WT FTSE MIB 3X DLY LEVERAGED,3ITL,IE - Ireland,BVME.ETF*,IE00B8NB3063,https://www.justetf.com/es/etf-profile.html?isin=IE00B8NB3063,https://extraetf.com/es/etf-profile/IE00B8NB3063
WT FTSE MIB 3X DAILY SHORT,3ITS,IE - Ireland,BVME.ETF*,IE00B873CW36,https://www.justetf.com/es/etf-profile.html?isin=IE00B873CW36,https://extraetf.com/es/etf-profile/IE00B873CW36
3X JD,3JDE,IE - Ireland,LSEETF*,XS2675718642,https://www.justetf.com/es/etf-profile.html?isin=XS2675718642,https://extraetf.com/es/etf-profile/XS2675718642
3X LONG JAPAN,3JPE,IE - Ireland,LSEETF*,XS2472196844,https://www.justetf.com/es/etf-profile.html?isin=XS2472196844,https://extraetf.com/es/etf-profile/XS2472196844
LS 3X CHINA TECH,3KWB,IE - Ireland,LSEETF*,XS2800709128,https://www.justetf.com/es/etf-profile.html?isin=XS2800709128,https://extraetf.com/es/etf-profile/XS2800709128
GRANITESHARES 3X LONG BABA,3LAA,IE - Ireland,BVME.ETF*,XS2842095320,https://www.justetf.com/es/etf-profile.html?isin=XS2842095320,https://extraetf.com/es/etf-profile/XS2842095320
GRANITESHARES 3X LONG APPLE,3LAE,IE - Ireland,LSEETF*,XS2722161424,https://www.justetf.com/es/etf-profile.html?isin=XS2722161424,https://extraetf.com/es/etf-profile/XS2722161424
GRANITESHARES 3X L ALPHABET,3LALT,IE - Ireland,LSEETF*,XS2675292309,https://www.justetf.com/es/etf-profile.html?isin=XS2675292309,https://extraetf.com/es/etf-profile/XS2675292309
GRANITESHARES +3X AMD,3LAM,IE - Ireland,SBF*,XS2377112110,https://www.justetf.com/es/etf-profile.html?isin=XS2377112110,https://extraetf.com/es/etf-profile/XS2377112110
GRANITESHARES +3X AIRBUS,3LAR,IE - Ireland,SBF*,XS2376933375,https://www.justetf.com/es/etf-profile.html?isin=XS2376933375,https://extraetf.com/es/etf-profile/XS2376933375
GRANITESHARES +3X AXA,3LAX,IE - Ireland,SBF*,XS2376944224,https://www.justetf.com/es/etf-profile.html?isin=XS2376944224,https://extraetf.com/es/etf-profile/XS2376944224
GRANITESHARES +3X BNP,3LBN,IE - Ireland,SBF*,XS2376951948,https://www.justetf.com/es/etf-profile.html?isin=XS2376951948,https://extraetf.com/es/etf-profile/XS2376951948
GRANITESHARES 3X LONG COIN,3LCO,IE - Ireland,BVME.ETF*,XS2575914176,https://www.justetf.com/es/etf-profile.html?isin=XS2575914176,https://extraetf.com/es/etf-profile/XS2575914176
GRANITESHARES 3X LONG UCG,3LCR,IE - Ireland,BVME.ETF*,XS2435550947,https://www.justetf.com/es/etf-profile.html?isin=XS2435550947,https://extraetf.com/es/etf-profile/XS2435550947
GRANITESHARES +3X DANONE,3LDA,IE - Ireland,SBF*,XS2376974304,https://www.justetf.com/es/etf-profile.html?isin=XS2376974304,https://extraetf.com/es/etf-profile/XS2376974304
GRANITESHARES 3X LONG ENI,3LEN,IE - Ireland,BVME.ETF*,XS2435551242,https://www.justetf.com/es/etf-profile.html?isin=XS2435551242,https://extraetf.com/es/etf-profile/XS2435551242
GRANITESHARES 3X LONG FB,3LFB,IE - Ireland,BVME.ETF*,XS2656469561,https://www.justetf.com/es/etf-profile.html?isin=XS2656469561,https://extraetf.com/es/etf-profile/XS2656469561
GRANITESHARES 3X LONG NIO,3LIE,IE - Ireland,LSEETF*,XS2600249812,https://www.justetf.com/es/etf-profile.html?isin=XS2600249812,https://extraetf.com/es/etf-profile/XS2600249812
GRANITESHARES +3X LVMH,3LLV,IE - Ireland,SBF*,XS2376975020,https://www.justetf.com/es/etf-profile.html?isin=XS2376975020,https://extraetf.com/es/etf-profile/XS2376975020
GRANITESHARES 3X LONG MSFT,3LME,IE - Ireland,LSEETF*,XS2662640627,https://www.justetf.com/es/etf-profile.html?isin=XS2662640627,https://extraetf.com/es/etf-profile/XS2662640627
GRANITESHARES 3X LONG MSTR,3LMI,IE - Ireland,BVME.ETF*,XS2617255760,https://www.justetf.com/es/etf-profile.html?isin=XS2617255760,https://extraetf.com/es/etf-profile/XS2617255760
GRANITESHARES +3X MODERNA,3LMO,IE - Ireland,SBF*,XS2613356620,https://www.justetf.com/es/etf-profile.html?isin=XS2613356620,https://extraetf.com/es/etf-profile/XS2613356620
GRANITESHARES 3X LONG NFLX,3LNE,IE - Ireland,LSEETF*,XS2617255687,https://www.justetf.com/es/etf-profile.html?isin=XS2617255687,https://extraetf.com/es/etf-profile/XS2617255687
GRANITESHARES 3X LONG ENEL,3LNL,IE - Ireland,BVME.ETF*,XS2435552216,https://www.justetf.com/es/etf-profile.html?isin=XS2435552216,https://extraetf.com/es/etf-profile/XS2435552216
GRANITESHARES +3X L'OREAL,3LOR,IE - Ireland,SBF*,XS2376974726,https://www.justetf.com/es/etf-profile.html?isin=XS2376974726,https://extraetf.com/es/etf-profile/XS2376974726
GRANITESHARES +3X PALANTIR,3LPA,IE - Ireland,SBF*,XS2620728860,https://www.justetf.com/es/etf-profile.html?isin=XS2620728860,https://extraetf.com/es/etf-profile/XS2620728860
GRANITESHARES 3X LONG AMAZON,3LPE,IE - Ireland,LSEETF*,XS2675292218,https://www.justetf.com/es/etf-profile.html?isin=XS2675292218,https://extraetf.com/es/etf-profile/XS2675292218
GRANITESHARES +3X SPOT,3LPO,IE - Ireland,BVME.ETF*,XS2435549261,https://www.justetf.com/es/etf-profile.html?isin=XS2435549261,https://extraetf.com/es/etf-profile/XS2435549261
GRANITESHARES 3X LONG PP,3LPP,IE - Ireland,BVME.ETF*,XS2596087671,https://www.justetf.com/es/etf-profile.html?isin=XS2596087671,https://extraetf.com/es/etf-profile/XS2596087671
AMUNDI MSCI WLD EUR,EWLD,LU - Luxembourg,SBF*,LU2655993207,https://www.justetf.com/es/etf-profile.html?isin=LU2655993207,https://extraetf.com/es/etf-profile/LU2655993207
ISHARES STX BNK 30-15 EUR A,EXA1,DE - Germany,AEB*,DE000A2QP372,https://www.justetf.com/es/etf-profile.html?isin=DE000A2QP372,https://extraetf.com/es/etf-profile/DE000A2QP372
UBSETF EM EXC SRI USD ACC,EXCS,IE - Ireland,BVME.ETF*,IE00BNC0MH93,https://www.justetf.com/es/etf-profile.html?isin=IE00BNC0MH93,https://extraetf.com/es/etf-profile/IE00BNC0MH93
ISHR EUROPE600 OIL & GAS DE,EXH1,DE - Germany,IBIS*,DE000A0H08M3,https://www.justetf.com/es/etf-profile.html?isin=DE000A0H08M3,https://extraetf.com/es/etf-profile/DE000A0H08M3
ISHR EUR600 FIN SERVICES DE,EXH2,DE - Germany,IBIS*,DE000A0H08G5,https://www.justetf.com/es/etf-profile.html?isin=DE000A0H08G5,https://extraetf.com/es/etf-profile/DE000A0H08G5
ISH EUR600 FOOD&BEVERAGE DE,EXH3,DE - Germany,IBIS*,DE000A0H08H3,https://www.justetf.com/es/etf-profile.html?isin=DE000A0H08H3,https://extraetf.com/es/etf-profile/DE000A0H08H3
ISHR EUR600 IND GDS&SERV(DE),EXH4,DE - Germany,IBIS*,DE000A0H08J9,https://www.justetf.com/es/etf-profile.html?isin=DE000A0H08J9,https://extraetf.com/es/etf-profile/DE000A0H08J9
ISHARES EUR600 INSURANCE(DE),EXH5,DE - Germany,IBIS*,DE000A0H08K7,https://www.justetf.com/es/etf-profile.html?isin=DE000A0H08K7,https://extraetf.com/es/etf-profile/DE000A0H08K7
ISHARES EUR 600 MEDIA (DE),EXH6,DE - Germany,IBIS*,DE000A0H08L5,https://www.justetf.com/es/etf-profile.html?isin=DE000A0H08L5,https://extraetf.com/es/etf-profile/DE000A0H08L5
ISHR EUR600 PERSNL&HOUSE DE,EXH7,DE - Germany,IBIS*,DE000A0H08N1,https://www.justetf.com/es/etf-profile.html?isin=DE000A0H08N1,https://extraetf.com/es/etf-profile/DE000A0H08N1
ISHARES EUROPE600 RETAIL DE,EXH8,DE - Germany,IBIS*,DE000A0H08P6,https://www.justetf.com/es/etf-profile.html?isin=DE000A0H08P6,https://extraetf.com/es/etf-profile/DE000A0H08P6
ISHARES EUR 600 UTILITIES DE,EXH9,DE - Germany,IBIS*,DE000A0Q4R02,https://www.justetf.com/es/etf-profile.html?isin=DE000A0Q4R02,https://extraetf.com/es/etf-profile/DE000A0Q4R02
ISHAR EB.REXX GVT GERMANY DE,EXHA,DE - Germany,IBIS*,DE0006289465,https://www.justetf.com/es/etf-profile.html?isin=DE0006289465,https://extraetf.com/es/etf-profile/DE0006289465
ISHARES GVT DE 1.5-2.5 EUR D,EXHB,DE - Germany,IBIS*,DE0006289473,https://www.justetf.com/es/etf-profile.html?isin=DE0006289473,https://extraetf.com/es/etf-profile/DE0006289473
ISHR GVT GERMANY 2.5-5.5 DE,EXHC,DE - Germany,IBIS*,DE0006289481,https://www.justetf.com/es/etf-profile.html?isin=DE0006289481,https://extraetf.com/es/etf-profile/DE0006289481
ISHAR GVT GMNY 5.5-10.5YR DE,EXHD,DE - Germany,IBIS*,DE0006289499,https://www.justetf.com/es/etf-profile.html?isin=DE0006289499,https://extraetf.com/es/etf-profile/DE0006289499
ISH PFANDBRIEFE UCITS ETF DE,EXHE,DE - Germany,IBIS*,DE0002635265,https://www.justetf.com/es/etf-profile.html?isin=DE0002635265,https://extraetf.com/es/etf-profile/DE0002635265
IS EU GVTBNDCAP 1.5-10.5 DE,EXHF,DE - Germany,IBIS*,DE000A0H0785,https://www.justetf.com/es/etf-profile.html?isin=DE000A0H0785,https://extraetf.com/es/etf-profile/DE000A0H0785
ISHARES SLI UCITS ETF DE,EXI1,DE - Germany,IBIS*,DE0005933964,https://www.justetf.com/es/etf-profile.html?isin=DE0005933964,https://extraetf.com/es/etf-profile/DE0005933964
ISHARES DJ GLOBALTITAN50 DE,EXI2,DE - Germany,IBIS*,DE0006289382,https://www.justetf.com/es/etf-profile.html?isin=DE0006289382,https://extraetf.com/es/etf-profile/DE0006289382
ISHARE DJ INDUSTRIAL AVRG DE,EXI3,DE - Germany,IBIS*,DE0006289390,https://www.justetf.com/es/etf-profile.html?isin=DE0006289390,https://extraetf.com/es/etf-profile/DE0006289390
ISHR EUR600 REAL ESTATE (DE),EXI5,DE - Germany,IBIS*,DE000A0Q4R44,https://www.justetf.com/es/etf-profile.html?isin=DE000A0Q4R44,https://extraetf.com/es/etf-profile/DE000A0Q4R44
ISHARES DAX ESG ETF DE,EXIA,DE - Germany,IBIS*,DE000A0Q4R69,https://www.justetf.com/es/etf-profile.html?isin=DE000A0Q4R69,https://extraetf.com/es/etf-profile/DE000A0Q4R69
ISHARES TECDAX ETF DE EURDIS,EXIB,DE - Germany,IBIS*,DE000A2QP323,https://www.justetf.com/es/etf-profile.html?isin=DE000A2QP323,https://extraetf.com/es/etf-profile/DE000A2QP323
ISHARES CORE DAX DE EUR DIST,EXIC,DE - Germany,IBIS*,DE000A2QP331,https://www.justetf.com/es/etf-profile.html?isin=DE000A2QP331,https://extraetf.com/es/etf-profile/DE000A2QP331
ISHARES MDAX UCITS DE EUR D,EXID,DE - Germany,IBIS*,DE000A2QP349,https://www.justetf.com/es/etf-profile.html?isin=DE000A2QP349,https://extraetf.com/es/etf-profile/DE000A2QP349
ISHARE STOXX EURO 600 UCITS,EXIE,DE - Germany,IBIS*,DE000A2QP4B6,https://www.justetf.com/es/etf-profile.html?isin=DE000A2QP4B6,https://extraetf.com/es/etf-profile/DE000A2QP4B6
ISHARES CORE DAX DE EUR ACC,EXS1,DE - Germany,IBIS*,DE0005933931,https://www.justetf.com/es/etf-profile.html?isin=DE0005933931,https://extraetf.com/es/etf-profile/DE0005933931
ISHARES TECDAX ETF DE EURACC,EXS2,DE - Germany,IBIS*,DE0005933972,https://www.justetf.com/es/etf-profile.html?isin=DE0005933972,https://extraetf.com/es/etf-profile/DE0005933972
ISHARES MDAX UCITS DE EUR A,EXS3,DE - Germany,IBIS*,DE0005933923,https://www.justetf.com/es/etf-profile.html?isin=DE0005933923,https://extraetf.com/es/etf-profile/DE0005933923
ISHARES STOXXE600 DE EUR DIS,EXSA,DE - Germany,IBIS*,DE0002635307,https://www.justetf.com/es/etf-profile.html?isin=DE0002635307,https://extraetf.com/es/etf-profile/DE0002635307
ISHARES DIVDAX UCITS ETF DE,EXSB,DE - Germany,IBIS*,DE0002635273,https://www.justetf.com/es/etf-profile.html?isin=DE0002635273,https://extraetf.com/es/etf-profile/DE0002635273
ISHARES STOXXEURLARGE200 DE,EXSC,DE - Germany,IBIS*,DE0005933980,https://www.justetf.com/es/etf-profile.html?isin=DE0005933980,https://extraetf.com/es/etf-profile/DE0005933980
ISHARES STOXX EUR MID200 DE,EXSD,DE - Germany,IBIS*,DE0005933998,https://www.justetf.com/es/etf-profile.html?isin=DE0005933998,https://extraetf.com/es/etf-profile/DE0005933998
ISHARES STOXXEURSMALL200 DE,EXSE,DE - Germany,IBIS*,DE000A0D8QZ7,https://www.justetf.com/es/etf-profile.html?isin=DE000A0D8QZ7,https://extraetf.com/es/etf-profile/DE000A0D8QZ7
ISHARE EUR STOXX SELDIV30 DE,EXSG,DE - Germany,IBIS*,DE0002635281,https://www.justetf.com/es/etf-profile.html?isin=DE0002635281,https://extraetf.com/es/etf-profile/DE0002635281
ISHR EUROPE SEL DIV 30 DE,EXSH,DE - Germany,IBIS*,DE0002635299,https://www.justetf.com/es/etf-profile.html?isin=DE0002635299,https://extraetf.com/es/etf-profile/DE0002635299
ISHR EUROSTOXX UCITS ETF DE,EXSI,DE - Germany,IBIS*,DE000A0D8Q07,https://www.justetf.com/es/etf-profile.html?isin=DE000A0D8Q07,https://extraetf.com/es/etf-profile/DE000A0D8Q07
ISHR STOXX EUR 600 BANKS DE,EXV1,DE - Germany,IBIS*,DE000A0F5UJ7,https://www.justetf.com/es/etf-profile.html?isin=DE000A0F5UJ7,https://extraetf.com/es/etf-profile/DE000A0F5UJ7
ISHARES EUR 600 TELECOMS DE,EXV2,DE - Germany,IBIS*,DE000A0H08R2,https://www.justetf.com/es/etf-profile.html?isin=DE000A0H08R2,https://extraetf.com/es/etf-profile/DE000A0H08R2
ISHR STOXX EUR 600 TECH DE,EXV3,DE - Germany,IBIS*,DE000A0H08Q4,https://www.justetf.com/es/etf-profile.html?isin=DE000A0H08Q4,https://extraetf.com/es/etf-profile/DE000A0H08Q4
ISHR EUR 600 HEALTH CARE(DE),EXV4,DE - Germany,IBIS*,DE000A0Q4R36,https://www.justetf.com/es/etf-profile.html?isin=DE000A0Q4R36,https://extraetf.com/es/etf-profile/DE000A0Q4R36
ISHARE EUR 600 AUTO&PARTS DE,EXV5,DE - Germany,IBIS*,DE000A0Q4R28,https://www.justetf.com/es/etf-profile.html?isin=DE000A0Q4R28,https://extraetf.com/es/etf-profile/DE000A0Q4R28
ISH EUR600 BASICRESOURCE DE,EXV6,DE - Germany,IBIS*,DE000A0F5UK5,https://www.justetf.com/es/etf-profile.html?isin=DE000A0F5UK5,https://extraetf.com/es/etf-profile/DE000A0F5UK5
